city,county,company,subtitle,pay,pay_type,url,sub_code,enrol_date
서울,중구,스시신조,[중구/스시신조] 주방경력직원(월6회 250-330만) 모집,3300000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80229674&mj_stat=0&optgf=,1010,2021-11-14
서울,중구,계류관,[월8회휴무] 주방직원(250-280만) 모집,2800000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80229189&mj_stat=0&optgf=,1010,2021-11-14
서울,구로구,화양가옥(구로점),이태리선술집 화양가옥에서 홀서버&셰프 모집합니다,2500000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80229139&mj_stat=0&optgf=,1010,2021-11-14
서울,강남구,에스엔컴퍼니랩/봉게짬뽕,[봉게짬뽕]  주방직원 및 알바 구합니다.,2800000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80228512&mj_stat=0&optgf=,1010,2021-11-14
서울,용산구,평화,평화 에서 함께하실 분 찾습니다. (직원 및 아르바이트),2700000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80228049&mj_stat=0&optgf=,1010,2021-11-14
충북,청주시,후니드/유베이스,[청주 SK하이닉스]직원식당 단체급식 주방/조리보조원 급,2500000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80221589&mj_stat=0&optgf=,1010,2021-11-14
서울,마포구,불닭발땡초동대문엽기떡볶이 마포역점,동대문 엽떡마포역점#주방#홀,2500000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80212767&mj_stat=0&optgf=,1010,2021-11-14
경기,성남시,델리커리 판교점,[델리커리판교점] 주말 홀/ 평일 주방 알바 각 1명 모집,10500,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80209309&mj_stat=0&optgf=,1010,2021-11-14
경기,김포시,김포일번가구이센터,김포일번가에서 함께 근무할 주방및 홀서빙 직원&스텝 구,2400000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80209164&mj_stat=0&optgf=,1010,2021-11-14
서울,강동구,도야족발 길동점,[도야족발 길동점]족발업무 하실직원/홀서빙 아르바이트,3000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80208106&mj_stat=0&optgf=,1010,2021-11-14
서울,영등포,양키통닭,[양키통닭에서 근무 할 주방직원1명 모집합니다],2300000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80207503&mj_stat=0&optgf=,1010,2021-11-14
서울,강남구,㈜디오비랩,양식레스토랑 비언유주얼 주말 홀서빙 아르바이트 모집합,9000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80206903&mj_stat=0&optgf=,1010,2021-11-14
서울,강남구,㈜디오비랩,주5일/월240만/양식 레스토랑 홀 매니저 직원 모집합니다,2400000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80206886&mj_stat=0&optgf=,1010,2021-11-14
경기,남양주,귀한족발,"귀한족발 마석점 (족발삶는직원 ,족발써는직원,,홀서빙 ",2700000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80205266&mj_stat=0&optgf=,1010,2021-11-14
서울,서초구,신가예촌,카운터 안내 및 홀서빙 업무 하실 직원모집,2600000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80198520&mj_stat=0&optgf=,1010,2021-11-14
경기,성남시,효원식당 분당정자점,효원식당 분당정자점 /정자역/정자동/직원모집,2200000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80197578&mj_stat=0&optgf=,1010,2021-11-14
경기,성남시,효원식당 분당정자점,효원식당 분당점 / 정자역 / 주말 근무자 모집,9500,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80197551&mj_stat=0&optgf=,1010,2021-11-14
전북,전주시,하늘천숯불갈비 전주혁신점,홀서빙 평일 및 주말 오전/오후 알바 및 직원모집,9000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80191925&mj_stat=0&optgf=,1010,2021-11-14
충남,천안시,호천당,주방담당 구함,2100000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80185767&mj_stat=0&optgf=,1010,2021-11-14
경기,파주시,긴자료코 야당점,긴자료코 야당점에서 함께 할 직원분을 모집합니다,2600000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80178595&mj_stat=0&optgf=,1010,2021-11-14
서울,마포구,라멘트럭,"단기파트타임/주방보조/11400원/평일/오전,오후",9500,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80177953&mj_stat=0&optgf=,1010,2021-11-14
경기,안양시,제주밤바다 범계역점,#신규오픈# 제주밤바다# 홀직원 및 주방직원 구인합니다,9500,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80177889&mj_stat=0&optgf=,1010,2021-11-14
경기,하남시,주식회사 성찬,매장관리자(유경험자우대) [웰빙부산어묵] 신세계백화점,2000000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80176855&mj_stat=0&optgf=,1010,2021-11-14
경기,성남시,최가네숯불구이,"[시급12000] 홀서빙 직원 및 평일,주말 알바 모집합니다",12000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80176113&mj_stat=0&optgf=,1010,2021-11-14
대전,대덕구,푸라닭치킨 중리점,푸라닭치킨 중리점.  주방및 주문접수.포장,10464,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80174930&mj_stat=0&optgf=,1010,2021-11-14
부산,기장군,바릇식당,"일광 바릇식당 채용 / (홀, 주방, 음식운반)",2750000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80172924&mj_stat=0&optgf=,1010,2021-11-14
부산,해운대,바릇식당,"일광 바릇식당 채용 / (홀, 주방, 음식운반)",2750000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80172877&mj_stat=0&optgf=,1010,2021-11-14
경기,화성시,고우시,프리미엄 일식 동탄역 고우시 [홀서빙 / 주방] 직원.알바,11000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80171883&mj_stat=0&optgf=,1010,2021-11-14
인천,연수구,양목장1274,탄력적인 근무요일 선택해서 분위기 있고 깔끔한 양갈비,10000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80171311&mj_stat=0&optgf=,1010,2021-11-14
경기,성남시,취홍,[취홍]홀서빙 및 주방보조 직원 모집합니다.,2800000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80171161&mj_stat=0&optgf=,1010,2021-11-14
경기,성남시,신마라명가 마라탕&마라샹궈 야탑지점,"야탑역 마라탕 전문점 주방직원(신입, 5일/6일) / 파트타",2900000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80169209&mj_stat=0&optgf=,1010,2021-11-14
서울,동대문,SIKI KATSU,"시키카츠 회기점 아르바이트 모집 / 주 3-4일 / 오전,오",8720,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80168748&mj_stat=0&optgf=,1010,2021-11-14
대전,서구,푸드사랑 (짬뽕지존),[시청역] 짬뽕지존 ++주간/홀직원 모집 ++ 월261만원,2610000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80168696&mj_stat=0&optgf=,1010,2021-11-14
서울,서초구,개미집,"개미집에서  주방, 홀직원, 알바 모집합니다.(숙식제공/",2500000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80164941&mj_stat=0&optgf=,1010,2021-11-14
경기,부천시,쏘삼208 현대중동점,주6일 홀직원 쏘삼208 중동현대점(백화점바로뒤쪽,2400000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80157893&mj_stat=0&optgf=,1010,2021-11-14
서울,관악구,이차돌 서울대입구역점,이차돌에서 홀직원 1명 채용합니다.,2400000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80152558&mj_stat=0&optgf=,1010,2021-11-14
서울,강남구,대낚식당,"(강남,역삼)홀서빙/목금토/주3일/주1일/새가족 모집합니",11000,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80145645&mj_stat=0&optgf=,1010,2021-11-14
경기,부천시,청년조개,청년조개에서 예비 점장 모집합니다 (파트타이머도 동시,2700000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80144441&mj_stat=0&optgf=,1010,2021-11-14
서울,강서구,광선집,광선집 홀직원/주방직원/파트타임 모집합니다.,2600000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80142640&mj_stat=0&optgf=,1010,2021-11-14
서울,중구,펀비어킹,동대문 굿모닝시티점 펀비어킹 주방직원 / 홀 직원 구합,2600000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80141926&mj_stat=0&optgf=,1010,2021-11-14
서울,서초구,유타로,일본라멘집 유타로 직원을 구합니다. 월 7.5회휴무. 초봉,2500000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80139622&mj_stat=0&optgf=,1010,2021-11-14
서울,종로구,차알 광화문 D타워점,쉬운 레스토랑 서빙 알바 및 직원 모십니다.,11500,시급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80134197&mj_stat=0&optgf=,1010,2021-11-14
서울,강남구,쿠이신보 청담점,[월8일휴무270만원+택시비지원]정직원/아르바이트/주방이,2700000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80132919&mj_stat=0&optgf=,1010,2021-11-14
서울,마포구,쿠이신보 합정점,월8일휴무/270만원/주방 직원 및 아르바이트/오픈준비 주,2700000,월급,https://www.albamon.com/recruit/view/gi?AL_GI_No=80132828&mj_stat=0&optgf=,1010,2021-11-14
